SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-14-2017,Single Family Residential,117 CHESTNUT St,Newton,MA,02465,994000,4,2.5,West Newton,2476,17239,1951,404,401,,Sold,,,http://www.redfin.com/MA/West-Newton/117-Chestnut-St-02465/home/11427053,MLS PIN,72179421,N,Y,42.3458262,-71.2241019
PAST SALE,July-24-2018,Townhouse,367 Lowell Ave #367,Newton,MA,02460,916000,4,3.5,Newtonville,2305,10513,1996,91,397,375,Sold,,,http://www.redfin.com/MA/Newton/367-Lowell-Ave-02460/unit-367/home/77516758,MLS PIN,72325306,N,Y,42.3448049,-71.2115532
PAST SALE,July-30-2018,Single Family Residential,10-R Cummings Rd,Newton,MA,02459,843000,3,2.5,Newton Center,1935,4942,1900,85,436,,Sold,,,http://www.redfin.com/MA/Newton/10R-Cummings-Rd-02459/home/145195545,MLS PIN,72296675,N,Y,42.3367761,-71.2103648
PAST SALE,August-15-2018,Townhouse,30 Myrtle St #30,Newton,MA,02465,810000,3,2.5,West Newton,1425,7233,1920,69,568,,Sold,,,http://www.redfin.com/MA/Newton/30-Myrtle-St-02465/unit-30/home/137884089,MLS PIN,72353312,N,Y,42.3440199,-71.2335716
PAST SALE,,Single Family Residential,10 Cummings Rd,Newton Centre,MA,02459,843000,4,2.5,,1935,4942,1900,,436,,,,,http://www.redfin.com/MA/Newton-Centre/10-Cummings-Rd-02459/home/11464687,,,N,Y,42.336884,-71.2107825
PAST SALE,August-16-2018,Single Family Residential,58 Henshaw St,Newton,MA,02465,750000,4,2.0,West Newton,1608,2662,1912,68,466,,Sold,,,http://www.redfin.com/MA/West-Newton/58-Henshaw-St-02465/home/11431776,MLS PIN,72345209,N,Y,42.3524675,-71.2281961
PAST SALE,August-23-2018,Single Family Residential,95 Prospect St,Newton,MA,02465,990000,3,2.5,West Newton Hill,1520,8584,1870,61,651,,Sold,,,http://www.redfin.com/MA/West-Newton/95-Prospect-St-02465/home/11427711,MLS PIN,72314593,N,Y,42.3444294,-71.2322581
PAST SALE,,Townhouse,58 Webster St,Newton,MA,02465,810000,4,3.5,,2054,2263,1865,,394,,,,,http://www.redfin.com/MA/Newton/58-Webster-St-02465/home/11494808,,,N,Y,42.3499876,-71.2288791
PAST SALE,,Townhouse,35 Court St #35,Newton,MA,02458,888000,4,3.5,,2180,6000,1997,,407,,,,,http://www.redfin.com/MA/Newton/35-Court-St-02458/unit-35/home/11421857,,,N,Y,42.3536538,-71.2022414
PAST SALE,October-18-2018,Single Family Residential,85 Border St,Newton,MA,02465,740000,4,2.5,West Newton,2032,6752,1990,5,364,,Sold,,,http://www.redfin.com/MA/Newton/85-Border-St-02465/home/11430395,MLS PIN,72388802,Y,Y,42.3484567,-71.2330765
